房源名称,户型,面向,面积,所属区,地址,价钱
独栋·乐乎城市青年社区,春熙路店,青青草原2.0,西北,锦江区,,2350-2650 元/月
银唐国际,2室1厅,跃层,90㎡,锦江区,锦江合江亭,3500 元/月
合租·世纪朝阳,5居室,东南卧,9㎡,锦江区,锦江九眼桥,850 元/月
缤舍,2室1厅,西南,88㎡,锦江区,锦江盐市口,4000 元/月
合租·中房优山PLUS,5居室,南卧,16㎡,锦江区,锦江东客站,1000 元/月
合租·中房优山PLUS,5居室,南卧,16㎡,锦江区,锦江东客站,1000 元/月
莲花逸都,3室1厅,东南,98㎡,锦江区,锦江九眼桥,3600 元/月
合租·人居锦尚春天A区,5居室,东卧,8㎡,锦江区,锦江三圣乡,750 元/月
合租·外滩,4居室,东卧,11㎡,锦江区,锦江九眼桥,950 元/月
合租·绿地468公馆二期,5居室,东卧,11㎡,锦江区,锦江三圣乡,600 元/月
天誉花园,3室2厅,东南,118㎡,锦江区,锦江东大路,5500 元/月
整租·比华利国际城二期,3室2厅,东/东南,98㎡,锦江区,锦江川师,3500 元/月
合租·瑞升望江橡树林二期,5居室,东卧,10㎡,锦江区,锦江三官堂,920 元/月
合租·绿地468公馆二期,5居室,东卧,9㎡,锦江区,锦江三圣乡,900 元/月
整租·吉宝凌云峰阁,2室2厅,东南,77㎡,锦江区,锦江攀成钢,4000 元/月
合租·外滩,3居室,东北卧,14㎡,锦江区,锦江九眼桥,1460 元/月
合租·外滩,3居室,东北卧,8㎡,锦江区,锦江九眼桥,1360 元/月
万科城市花园,3室2厅,东南,108㎡,锦江区,锦江川师,3300 元/月
合租·世纪朝阳,4居室,东南卧,10㎡,锦江区,锦江九眼桥,1060 元/月
恒大都汇华庭,1室1厅,东南,79㎡,锦江区,锦江合江亭,5800 元/月
镏金岁月,3室1厅,南,79㎡,锦江区,锦江攀成钢,2400 元/月
合租·世纪朝阳,4居室,东南卧,9㎡,锦江区,锦江九眼桥,1190 元/月
合租·世纪朝阳,4居室,东南卧,14㎡,锦江区,锦江九眼桥,1460 元/月
合租·世纪朝阳,3居室,东南卧,15㎡,锦江区,锦江九眼桥,1490 元/月
